"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SUMO3",9.07697338566363e-06,0.396517411308046,0.762,0.422,0.171554796989043,"17","SUMO3"
"TPP12",1.08913226315601e-05,0.45116742623403,0.762,0.442,0.205845997736485,"17","TPP1"
"OAS21",1.10201262797141e-05,0.447597624325217,0.524,0.245,0.208280386686597,"17","OAS2"
"CFB",1.10794020235465e-05,0.363870177408199,0.524,0.236,0.209400698245029,"17","CFB"
"VKORC1",1.14330008248981e-05,0.426644727938364,0.714,0.391,0.216083715590574,"17","VKORC1"
"ANO6",1.19195931928833e-05,0.280064905670546,0.524,0.219,0.225280311345495,"17","ANO6"
"PEA152",1.28463493716191e-05,0.544726678684798,0.762,0.463,0.242796003123601,"17","PEA15"
"CAPZB",1.35747387860942e-05,0.431646384403713,0.929,0.618,0.256562563057181,"17","CAPZB"
"DEGS11",1.39256252335741e-05,0.509319839611795,0.595,0.307,0.26319431691455,"17","DEGS1"
"MFSD1",1.4518571371915e-05,0.32591160880586,0.524,0.233,0.274400998929193,"17","MFSD1"
"PLPP1",1.56977573753023e-05,0.307788492713714,0.524,0.225,0.296687614393213,"17","PLPP1"
"IGFBP41",1.64594312438383e-05,0.411314413236127,0.976,0.864,0.311083250508543,"17","IGFBP4"
"TBC1D2B",1.84334611415943e-05,0.41928230244014,0.5,0.239,0.348392415576132,"17","TBC1D2B"
"GSN2",1.85196123461512e-05,0.549156753954539,0.857,0.606,0.350020673342258,"17","GSN"
"PLOD11",2.11996691872431e-05,0.413174755261654,0.643,0.364,0.400673747638895,"17","PLOD1"
"PKD1",2.2163045383729e-05,0.332971594812346,0.524,0.239,0.418881557752477,"17","PKD1"
"JUNB2",2.39834852170107e-05,0.525989870186301,0.881,0.556,0.453287870601501,"17","JUNB"
