"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PSMD7",2.47589442193037e-07,0.354634153321523,0.714,0.542,0.00518699881394412,"14","PSMD7"
"LIPA2",2.55869473100449e-07,0.363566622244591,0.77,0.631,0.00536046546145441,"14","LIPA"
"ITGA31",3.19181528244961e-07,0.382059733395425,0.913,0.774,0.00668685301673193,"14","ITGA3"
"OSTM12",3.87996125255352e-07,0.346405757526887,0.619,0.418,0.00812851882409962,"14","OSTM1"
"AC092958.14",4.04550107406078e-07,0.251484382367071,0.905,0.658,0.00847532475015734,"14","AC092958.1"
"SCPEP13",4.21680225509707e-07,0.305254512702816,0.706,0.465,0.00883420072442837,"14","SCPEP1"
"NAA104",4.49196819595973e-07,0.305909644459474,0.889,0.713,0.00941067337053563,"14","NAA10"
"MLLT112",5.83539024923041e-07,0.318355814706005,0.595,0.389,0.0122251425721377,"14","MLLT11"
"TAF102",6.04055321773792e-07,0.34839431062034,0.873,0.762,0.0126549589911609,"14","TAF10"
"BAMBI3",8.1085392636415e-07,0.274737268895032,0.627,0.406,0.0169873897573289,"14","BAMBI"
"COQ8B",8.58344197017096e-07,0.30893467930516,0.563,0.361,0.0179823109275082,"14","COQ8B"
"ADAMTS93",1.00000806752479e-06,0.350966232179327,0.611,0.414,0.0209501690146444,"14","ADAMTS9"
"LIMS11",1.0910283314881e-06,0.349253473211491,0.889,0.77,0.0228570435446756,"14","LIMS1"
"CD3202",1.09416581701151e-06,0.335603031784439,0.817,0.68,0.0229227738663912,"14","CD320"
"DBNDD12",1.19026473470157e-06,0.324495589957571,0.825,0.633,0.0249360461919978,"14","DBNDD1"
"ATP1B32",1.3140515031186e-06,0.322063630619569,0.841,0.727,0.0275293789903347,"14","ATP1B3"
"ERP29",1.33365919512747e-06,0.297499854135797,0.913,0.81,0.0279401601379204,"14","ERP29"
"APOC23",1.35109951349958e-06,0.345481910035442,0.643,0.456,0.0283055348078162,"14","APOC2"
"RFFL2",1.57299619944337e-06,0.341893581702904,0.548,0.368,0.0329542703783385,"14","RFFL"
"EFNB23",1.7028418140906e-06,0.288437182825866,0.675,0.474,0.035674536005198,"14","EFNB2"
"KPNA22",1.87909869484595e-06,0.274455285478185,0.54,0.338,0.0393671176570226,"14","KPNA2"
"VAMP52",1.88733562736631e-06,0.332168519870114,0.889,0.785,0.0395396813933243,"14","VAMP5"
"CASP32",2.22507657260994e-06,0.399398060210141,0.675,0.499,0.0466153541961782,"14","CASP3"
"CNIH31",3.39838548878628e-06,0.310338910277719,0.881,0.779,0.0711961759900726,"14","CNIH3"
"NME12",4.26568757003616e-06,0.319786845427036,0.921,0.79,0.0893661545922576,"14","NME1"
"NOMO13",4.36522583737888e-06,0.302588016866893,0.667,0.48,0.0914514812930875,"14","NOMO1"
"ABHD4",4.77746938293324e-06,0.267873078788848,0.603,0.408,0.100087983572451,"14","ABHD4"
"C9orf162",5.51234491278332e-06,0.313442483033337,0.889,0.736,0.115483625922811,"14","C9orf16"
"CAMK14",7.00523920643826e-06,0.323352139944563,0.706,0.57,0.146759761374882,"14","CAMK1"
"ROM13",7.30582584621599e-06,0.410349964121974,0.587,0.442,0.153057051478225,"14","ROM1"
"ERG281",7.34617004572381e-06,0.383007364470891,0.69,0.56,0.153902262457914,"14","ERG28"
"PSMC1",8.37041040085397e-06,0.267133506471881,0.841,0.696,0.175360097897891,"14","PSMC1"
"ECI23",1.09131578686366e-05,0.311095441831116,0.889,0.75,0.228630657347936,"14","ECI2"
"CNPY32",1.39433704957514e-05,0.305704050178917,0.722,0.562,0.292113611885992,"14","CNPY3"
"PFN23",1.62256614500826e-05,0.259930755136872,0.921,0.817,0.33992760737923,"14","PFN2"
"SLC22A232",1.81999565458752e-05,0.286860757651298,0.683,0.516,0.381289089636086,"14","SLC22A23"
"ZMYND83",1.96701905528884e-05,0.266111936713214,0.794,0.602,0.412090492083013,"14","ZMYND8"
"AKR1B11",2.00566923352201e-05,0.260167127608605,0.794,0.662,0.420187704422862,"14","AKR1B1"
"SLC35B11",2.34022800703502e-05,0.274012363215342,0.563,0.384,0.490277767473837,"14","SLC35B1"
"FASN1",2.35936405127222e-05,0.30203991457086,0.841,0.702,0.494286768741531,"14","FASN"
"HNRNPAB2",2.70543236871163e-05,0.263606880868581,0.69,0.518,0.566788081245087,"14","HNRNPAB"
"MIR4435-2HG2",2.75103636891389e-05,0.256232750285197,0.54,0.367,0.57634211928746,"14","MIR4435-2HG"
"GATB4",3.01913385087313e-05,0.305171298044292,0.524,0.365,0.63250854175792,"14","GATB"
"CAPN53",3.29256644225824e-05,0.263144200035833,0.786,0.636,0.689792669653101,"14","CAPN5"
"TXLNA",3.44188068970659e-05,0.298019746824441,0.77,0.617,0.721074004493531,"14","TXLNA"
"PDIA41",3.56885495119195e-05,0.26505690738699,0.944,0.841,0.747675112274713,"14","PDIA4"
"FADS11",3.91375682203353e-05,0.280118622194296,0.548,0.385,0.819932054216024,"14","FADS1"
"FNDC4",5.06189659739462e-05,0.299279190142865,0.683,0.54,1,"14","FNDC4"
"SERPINF16",8.34431393063232e-05,0.268617404234964,0.754,0.597,1,"14","SERPINF1"
"CLTB",8.99632714195619e-05,0.258896159781238,0.802,0.668,1,"14","CLTB"
"G6PC31",9.57368418765575e-05,0.300883990454575,0.865,0.717,1,"14","G6PC3"
"CHGB2",9.77096577389387e-05,0.263783358850945,0.5,0.341,1,"14","CHGB"
"PTPN122",0.000107204243399551,0.255137699959573,0.794,0.672,1,"14","PTPN12"
"PDLIM12",0.00012635552372247,0.283386887034124,0.698,0.558,1,"14","PDLIM1"
"PSMD13",0.000131867805920987,0.292456139026483,0.786,0.67,1,"14","PSMD13"
"SEMA6A3",0.000168633478905184,0.300627891689613,0.675,0.547,1,"14","SEMA6A"
"C1QC5",0.000190172528335111,0.283162725436395,0.921,0.798,1,"14","C1QC"
"MPRIP1",0.00024580034066838,0.258840246786719,0.873,0.762,1,"14","MPRIP"
"TCN23",0.000257624190988877,0.262009590822267,0.635,0.512,1,"14","TCN2"
"INPP5F3",0.000265723371881578,0.288376164150919,0.635,0.501,1,"14","INPP5F"
"RNASET21",0.000368370602163143,0.257257378047811,0.77,0.651,1,"14","RNASET2"
"TIMM8B1",0.000376803633578424,0.251282975671363,0.77,0.644,1,"14","TIMM8B"
"COQ8A1",0.000404236363402762,0.270283246902456,0.587,0.464,1,"14","COQ8A"
"MAN2B13",0.00043981476099128,0.252734701058001,0.579,0.449,1,"14","MAN2B1"
